UPOVGroup,RHS,english,français,deutsch,español
48,N82D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N87A,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N87B,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N87C,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N87D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
49,N88A,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
49,N88B,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
48,N88C,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
48,N88D,medium blue violet,violet-bleu moyen,mittelblauviolett,violeta azulado medio
52,N89A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
52,N89B,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
49,N89C,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
49,N89D,dark blue violet,violet-bleu foncé,dunkelblauviolett,violeta azulado oscuro
46,N92A,dark violet,violet foncé,dunkelviolett,violeta oscuro
52,N92B,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
52,N92C,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
46,N92D,dark violet,violet foncé,dunkelviolett,violeta oscuro
52,N95A,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
52,N95B,dark violet blue,bleu-violet foncé,dunkelviolettblau,azul violáceo oscuro
51,N95C,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
51,N95D,medium violet blue,bleu-violet moyen,mittelviolettblau,azul violáceo medio
54,N109A,medium blue,bleu moyen,mittelblau,azul medio
54,N109B,medium blue,bleu moyen,mittelblau,azul medio
54,N109C,medium blue,bleu moyen,mittelblau,azul medio
53,N109D,light blue,bleu clair,hellblau,azul claro
4,N134A,dark green,vert foncé,dunkelgrün,verde oscuro
4,N134B,dark green,vert foncé,dunkelgrün,verde oscuro
3,N134C,medium green,vert moyen,mittelgrün,verde medio
3,N134D,medium green,vert moyen,mittelgrün,verde medio
4,N138A,dark green,vert foncé,dunkelgrün,verde oscuro
15,N138B,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
15,N138C,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
14,N138D,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
2,N144A,light green,vert clair,hellgrün,verde claro
2,N144B,light green,vert clair,hellgrün,verde claro
2,N144C,light green,vert clair,hellgrün,verde claro
2,N144D,light green,vert clair,hellgrün,verde claro
14,N148A,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,N148B,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,N148C,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
14,N148D,medium brown green,vert-brun moyen,mittelbraungrün,verde amarronado medio
72,N155A,grey,gris,grau,gris
1,N155B,white,blanc,weiß,blanco
1,N155C,white,blanc,weiß,blanco
1,N155D,white,blanc,weiß,blanco
64,N163A,orange brown,brun orangé,orangebraun,marrón anaranjado
64,N163B,orange brown,brun orangé,orangebraun,marrón anaranjado
21,N163C,dark yellow orange,orange-jaune foncé,dunkelgelborange,naranja amarillento oscuro
21,N163D,dark yellow orange,orange-jaune foncé,dunkelgelborange,naranja amarillento oscuro
59,N167A,light brown,brun clair,hellbraun,marrón claro
60,N167B,medium bown,brun moyen,mittelbraun,marrón medio
59,N167C,light brown,brun clair,hellbraun,marrón claro
59,N167D,light brown,brun clair,hellbraun,marrón claro
60,N170A,medium brown,brun moyen,mittelbraun,marrón medio
59,N170B,light brown,brun clair,hellbraun,marrón claro
26,N170C,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
26,N170D,medium orange pink,rose orangé moyen,mittelorangerosa,rosa anaranjado medio
64,N172A,orange brown,brun orangé,orangebraun,marrón anaranjado
64,N172B,orange brown,brun orangé,orangebraun,marrón anaranjado
64,N172C,orange brown,brun orangé,orangebraun,marrón anaranjado
59,N172D,light brown,brun clair,hellbraun,marrón claro
73,N186A,black,noir,schwarz,negro
73,N186B,black,noir,schwarz,negro
41,N186C,dark brown purple,pourpre-brun foncé,dunkelbraunpurpurn,púrpura amarronado oscuro
38,N186D,dark purple red,rouge-pourpre foncé,dunkelpurpurrot,rojo púrpura oscuro
73,N187A,black,noir,schwarz,negro
71,N187B,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,N187C,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,N187D,purple grey,gris-pourpre,purpurgrau,gris púrpura
9,N189A,dark grey green,vert-gris foncé,dunkelgraugrün,verde grisáceo oscuro
9,N189B,dark grey green,vert-gris foncé,dunkelgraugrün,verde grisáceo oscuro
9,N189C,dark grey green,vert-gris foncé,dunkelgraugrün,verde grisáceo oscuro
72,N189D,grey,gris,grau,gris
65,N199A,grey brown,brun-gris,graubraun,marrón grisáceo
61,N199B,dark brown,brun foncé,dunkelbraun,marrón oscuro
65,N199C,grey brown,brun-gris,graubraun,marrón grisáceo
65,N199D,grey brown,brun-gris,graubraun,marrón grisáceo
61,N200A,dark brown,brun foncé,dunkelbraun,marrón oscuro
70,N200B,brown grey,gris-brun,braungrau,gris amarronado
71,N200C,purple grey,gris-pourpre,purpurgrau,gris púrpura
71,N200D,purple grey,gris-pourpre,purpurgrau,gris púrpura
42,NN74A,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,NN74B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,NN74C,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
32,NN74D,dark blue pink,rose-bleu foncé,dunkelblaurosa,rosa azulado oscuro
42,NN78A,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,NN78B,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,NN78C,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
42,NN78D,medium purple,pourpre moyen,mittelpurpurn,púrpura medio
15,NN137A,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
4,NN137B,dark green,vert foncé,dunkelgrün,verde oscuro
4,NN137C,dark green,vert foncé,dunkelgrün,verde oscuro
15,NN137D,dark brown green,vert-brun foncé,dunkelbraungrün,verde amarronado oscuro
1,NN155A,white,blanc,weiß,blanco
1,NN155B,white,blanc,weiß,blanco
1,NN155C,white,blanc,weiß,blanco
1,NN155D,white,blanc,weiß,blanco
